customer_id,signup_date,city,state,acquisition_channel,age,gender
CUST00001,2023-10-28,Bangalore,Karnataka,Direct,35,M
CUST00002,2024-08-26,Chennai,Tamil Nadu,Direct,24,Other
CUST00003,2023-04-14,Hubli,Karnataka,Referral,20,M
CUST00004,2023-11-04,Bangalore,Karnataka,Paid Search,50,Other
CUST00005,2024-11-07,Nagpur,Maharashtra,Paid Search,63,Other
CUST00006,2023-02-16,Kolkata,West Bengal,Referral,55,F
CUST00007,2023-02-06,Mumbai,Maharashtra,Direct,45,F
CUST00008,2023-08-08,Lucknow,Uttar Pradesh,Paid Search,39,M
CUST00009,2024-02-16,Mysore,Karnataka,Organic,40,F
CUST00010,2023-05-17,Lucknow,Uttar Pradesh,Direct,47,Other
CUST00011,2023-06-21,Mysore,Karnataka,Organic,53,F
CUST00012,2023-10-30,Vadodara,Gujarat,Paid Search,63,M
CUST00013,2023-07-09,Nagpur,Maharashtra,Paid Search,36,M
CUST00014,2023-05-03,Chennai,Tamil Nadu,Referral,35,F
CUST00015,2023-10-28,Ahmedabad,Gujarat,Social Media,40,M
CUST00016,2023-06-29,Agra,Uttar Pradesh,Direct,59,M
CUST00017,2023-01-09,New Delhi,Delhi,Paid Search,47,F
CUST00018,2024-07-18,Agra,Uttar Pradesh,Direct,53,M
CUST00019,2024-03-14,Ahmedabad,Gujarat,Paid Search,20,F
CUST00020,2023-10-18,Siliguri,West Bengal,Organic,31,Other
CUST00021,2024-08-14,Ahmedabad,Gujarat,Direct,49,F
CUST00022,2023-09-11,Jaipur,Rajasthan,Social Media,26,M
CUST00023,2024-08-13,Agra,Uttar Pradesh,Email,45,Other
CUST00024,2023-08-01,Siliguri,West Bengal,Paid Search,26,Other
CUST00025,2023-05-13,Jaipur,Rajasthan,Organic,25,M
CUST00026,2024-11-05,Delhi,Delhi,Email,22,F
CUST00027,2024-02-20,Siliguri,West Bengal,Email,34,Other
CUST00028,2023-03-30,Nagpur,Maharashtra,Direct,25,Other
CUST00029,2024-10-25,Agra,Uttar Pradesh,Social Media,25,F
CUST00030,2024-10-24,Kolkata,West Bengal,Referral,18,Other
CUST00031,2023-04-28,Agra,Uttar Pradesh,Paid Search,50,M
CUST00032,2023-11-20,Agra,Uttar Pradesh,Email,56,M
CUST00033,2024-09-09,Delhi,Delhi,Paid Search,52,Other
CUST00034,2023-11-13,Nagpur,Maharashtra,Social Media,49,M
CUST00035,2024-12-28,Mysore,Karnataka,Social Media,33,M
CUST00036,2024-04-28,Madurai,Tamil Nadu,Organic,23,Other
CUST00037,2024-06-04,Jaipur,Rajasthan,Email,26,M
CUST00038,2024-03-04,Udaipur,Rajasthan,Paid Search,34,Other
CUST00039,2024-04-08,Kolkata,West Bengal,Email,64,Other
CUST00040,2024-10-24,Madurai,Tamil Nadu,Social Media,43,Other
CUST00041,2024-07-08,Surat,Gujarat,Email,46,M
CUST00042,2023-11-16,Chennai,Tamil Nadu,Organic,39,M
CUST00043,2024-05-15,Madurai,Tamil Nadu,Paid Search,18,M
CUST00044,2023-08-15,Mumbai,Maharashtra,Organic,20,F
CUST00045,2023-01-07,Hubli,Karnataka,Paid Search,35,Other
CUST00046,2024-06-23,Jaipur,Rajasthan,Email,26,Other
CUST00047,2024-04-17,Jaipur,Rajasthan,Referral,44,M
CUST00048,2024-11-04,Bangalore,Karnataka,Direct,45,F
CUST00049,2023-09-14,Siliguri,West Bengal,Referral,64,M
CUST00050,2024-11-25,Bangalore,Karnataka,Referral,64,F
CUST00051,2023-10-11,Bangalore,Karnataka,Paid Search,30,Other
CUST00052,2023-01-19,Jaipur,Rajasthan,Referral,29,F
CUST00053,2024-01-27,Jaipur,Rajasthan,Organic,46,Other
CUST00054,2023-05-13,Bangalore,Karnataka,Direct,52,M
CUST00055,2024-10-13,Bangalore,Karnataka,Paid Search,44,F
CUST00056,2023-10-19,Jaipur,Rajasthan,Referral,21,M
CUST00057,2023-08-04,Kolkata,West Bengal,Referral,34,F
CUST00058,2023-04-16,Kanpur,Uttar Pradesh,Direct,64,Other
CUST00059,2024-02-17,Jaipur,Rajasthan,Paid Search,36,M
CUST00060,2023-10-05,Nagpur,Maharashtra,Direct,52,M
CUST00061,2024-05-20,Ahmedabad,Gujarat,Organic,55,F
CUST00062,2023-11-11,New Delhi,Delhi,Email,23,M
CUST00063,2023-02-18,Hubli,Karnataka,Organic,61,M
CUST00064,2024-01-31,Kolkata,West Bengal,Email,33,Other
CUST00065,2023-08-21,Nagpur,Maharashtra,Organic,44,Other
CUST00066,2024-04-19,Surat,Gujarat,Paid Search,60,Other
CUST00067,2023-11-19,Ahmedabad,Gujarat,Social Media,43,M
CUST00068,2023-11-16,Kanpur,Uttar Pradesh,Social Media,22,M
CUST00069,2024-03-22,Udaipur,Rajasthan,Email,24,M
CUST00070,2024-10-07,Madurai,Tamil Nadu,Social Media,26,F
CUST00071,2024-06-28,Bangalore,Karnataka,Social Media,36,M
CUST00072,2024-07-25,Udaipur,Rajasthan,Direct,37,Other
CUST00073,2024-12-16,Nagpur,Maharashtra,Email,37,Other
CUST00074,2024-03-18,Bangalore,Karnataka,Social Media,25,M
CUST00075,2023-03-10,Delhi,Delhi,Social Media,56,M
CUST00076,2023-10-15,Ahmedabad,Gujarat,Direct,58,F
CUST00077,2023-06-09,Jodhpur,Rajasthan,Organic,23,Other
CUST00078,2023-11-26,Siliguri,West Bengal,Organic,18,F
CUST00079,2023-12-16,Delhi,Delhi,Paid Search,65,F
CUST00080,2023-02-23,Kolkata,West Bengal,Organic,22,Other
CUST00081,2024-01-31,New Delhi,Delhi,Social Media,55,Other
CUST00082,2024-05-23,Delhi,Delhi,Paid Search,20,F
CUST00083,2023-12-19,Ahmedabad,Gujarat,Social Media,31,Other
CUST00084,2024-10-05,Madurai,Tamil Nadu,Organic,40,Other
CUST00085,2024-12-01,Kolkata,West Bengal,Paid Search,28,M
CUST00086,2024-04-17,Kolkata,West Bengal,Paid Search,65,F
CUST00087,2023-01-19,Kolkata,West Bengal,Social Media,28,Other
CUST00088,2023-09-22,Mysore,Karnataka,Organic,48,M
CUST00089,2024-08-30,Coimbatore,Tamil Nadu,Social Media,37,M
CUST00090,2024-11-10,Chennai,Tamil Nadu,Direct,30,F
CUST00091,2024-01-26,Surat,Gujarat,Organic,35,F
CUST00092,2024-07-03,Siliguri,West Bengal,Organic,25,F
CUST00093,2024-06-07,Delhi,Delhi,Organic,24,Other
CUST00094,2024-02-19,Siliguri,West Bengal,Direct,38,F
CUST00095,2024-05-19,Mysore,Karnataka,Email,30,F
CUST00096,2024-03-22,Nagpur,Maharashtra,Referral,18,Other
CUST00097,2024-11-04,Coimbatore,Tamil Nadu,Referral,22,Other
CUST00098,2024-03-16,Vadodara,Gujarat,Social Media,60,M
CUST00099,2023-08-09,Agra,Uttar Pradesh,Social Media,60,F
CUST00100,2023-12-19,Surat,Gujarat,Direct,36,Other
CUST00101,2024-07-10,New Delhi,Delhi,Referral,60,F
CUST00102,2024-03-20,Delhi,Delhi,Referral,53,M
CUST00103,2024-12-01,Kanpur,Uttar Pradesh,Paid Search,45,Other
CUST00104,2023-03-09,Surat,Gujarat,Referral,46,Other
CUST00105,2023-04-09,Madurai,Tamil Nadu,Referral,65,M
CUST00106,2023-12-24,Mysore,Karnataka,Email,60,Other
CUST00107,2023-03-13,Ahmedabad,Gujarat,Paid Search,61,F
CUST00108,2024-10-07,Chennai,Tamil Nadu,Paid Search,19,M
CUST00109,2024-11-29,Coimbatore,Tamil Nadu,Email,22,F
CUST00110,2023-06-16,Kolkata,West Bengal,Direct,62,F
CUST00111,2024-07-24,Jodhpur,Rajasthan,Paid Search,27,Other
CUST00112,2024-01-31,Mumbai,Maharashtra,Referral,32,M
CUST00113,2024-08-14,Jaipur,Rajasthan,Email,33,M
CUST00114,2023-12-23,Jaipur,Rajasthan,Referral,60,Other
CUST00115,2023-09-05,Surat,Gujarat,Email,64,Other
CUST00116,2023-10-17,Siliguri,West Bengal,Paid Search,65,F
CUST00117,2024-02-07,Jodhpur,Rajasthan,Paid Search,58,F
CUST00118,2023-10-11,Udaipur,Rajasthan,Paid Search,35,F
CUST00119,2023-04-03,Hubli,Karnataka,Social Media,33,F
CUST00120,2024-04-01,Surat,Gujarat,Email,23,M
CUST00121,2024-09-02,New Delhi,Delhi,Referral,62,M
CUST00122,2024-04-28,Chennai,Tamil Nadu,Referral,44,F
CUST00123,2023-08-12,Jodhpur,Rajasthan,Organic,31,F
CUST00124,2024-02-09,Kolkata,West Bengal,Email,42,F
CUST00125,2024-02-05,Pune,Maharashtra,Social Media,42,F
CUST00126,2024-08-01,Coimbatore,Tamil Nadu,Paid Search,35,F
CUST00127,2023-02-05,Jaipur,Rajasthan,Referral,39,Other
CUST00128,2023-06-11,Kolkata,West Bengal,Referral,26,Other
CUST00129,2023-01-26,Pune,Maharashtra,Email,54,Other
CUST00130,2023-06-30,Mumbai,Maharashtra,Direct,45,M
CUST00131,2024-08-24,Jaipur,Rajasthan,Organic,34,F
CUST00132,2023-02-15,Ahmedabad,Gujarat,Referral,38,F
CUST00133,2024-02-15,Siliguri,West Bengal,Referral,34,M
CUST00134,2023-02-12,Jaipur,Rajasthan,Direct,52,M
CUST00135,2023-10-26,Ahmedabad,Gujarat,Direct,22,Other
CUST00136,2023-08-18,Mumbai,Maharashtra,Paid Search,30,M
CUST00137,2024-06-24,New Delhi,Delhi,Paid Search,48,Other
