event_id,customer_id,event_type,event_date
EVT0000001,CUST04780,visit,2024-12-21
EVT0000002,CUST04780,cart,2024-12-24
EVT0000003,CUST04780,purchase,2024-12-26
EVT0000004,CUST03997,visit,2023-07-19
EVT0000005,CUST03997,cart,2023-07-19
EVT0000006,CUST03997,purchase,2023-07-21
EVT0000007,CUST04708,visit,2024-07-29
EVT0000008,CUST04708,cart,2024-07-31
EVT0000009,CUST04708,purchase,2024-08-01
EVT0000010,CUST01260,visit,2024-09-23
EVT0000011,CUST01260,cart,2024-09-27
EVT0000012,CUST01260,purchase,2024-09-30
EVT0000013,CUST04274,visit,2024-10-06
EVT0000014,CUST04274,cart,2024-10-08
EVT0000015,CUST04274,purchase,2024-10-11
EVT0000016,CUST00076,visit,2024-07-03
EVT0000017,CUST00076,cart,2024-07-07
EVT0000018,CUST00076,purchase,2024-07-08
EVT0000019,CUST04373,visit,2024-11-08
EVT0000020,CUST04373,cart,2024-11-12
EVT0000021,CUST04373,purchase,2024-11-12
EVT0000022,CUST03713,visit,2024-08-24
EVT0000023,CUST03713,cart,2024-08-25
EVT0000024,CUST03713,purchase,2024-08-27
EVT0000025,CUST03472,visit,2024-08-17
EVT0000026,CUST03472,cart,2024-08-16
EVT0000027,CUST03472,purchase,2024-08-18
EVT0000028,CUST00556,visit,2024-11-10
EVT0000029,CUST00556,cart,2024-11-14
EVT0000030,CUST00556,purchase,2024-11-15
EVT0000031,CUST00584,visit,2024-12-06
EVT0000032,CUST00584,cart,2024-12-06
EVT0000033,CUST00584,purchase,2024-12-09
EVT0000034,CUST03629,visit,2024-09-14
EVT0000035,CUST03629,cart,2024-09-20
EVT0000036,CUST03629,purchase,2024-09-20
EVT0000037,CUST04827,visit,2024-12-02
EVT0000038,CUST04827,cart,2024-12-05
EVT0000039,CUST04827,purchase,2024-12-07
EVT0000040,CUST01987,visit,2024-11-23
EVT0000041,CUST01987,cart,2024-11-23
EVT0000042,CUST01987,purchase,2024-11-26
EVT0000043,CUST04728,visit,2024-08-24
EVT0000044,CUST04728,cart,2024-08-26
EVT0000045,CUST04728,purchase,2024-08-26
EVT0000046,CUST03079,visit,2023-11-15
EVT0000047,CUST03079,cart,2023-11-18
EVT0000048,CUST03079,purchase,2023-11-20
EVT0000049,CUST00845,visit,2024-12-13
EVT0000050,CUST00845,cart,2024-12-10
EVT0000051,CUST00845,purchase,2024-12-13
EVT0000052,CUST04969,visit,2024-11-07
EVT0000053,CUST04969,cart,2024-11-05
EVT0000054,CUST04969,purchase,2024-11-08
EVT0000055,CUST03156,visit,2024-11-29
EVT0000056,CUST03156,cart,2024-11-28
EVT0000057,CUST03156,purchase,2024-12-01
EVT0000058,CUST04798,visit,2023-10-12
EVT0000059,CUST04798,cart,2023-10-15
EVT0000060,CUST04798,purchase,2023-10-17
EVT0000061,CUST00579,visit,2024-12-18
EVT0000062,CUST00579,cart,2024-12-23
EVT0000063,CUST00579,purchase,2024-12-25
EVT0000064,CUST00390,visit,2024-11-28
EVT0000065,CUST00390,cart,2024-11-30
EVT0000066,CUST00390,purchase,2024-11-30
EVT0000067,CUST01783,visit,2024-09-14
EVT0000068,CUST01783,cart,2024-09-16
EVT0000069,CUST01783,purchase,2024-09-19
EVT0000070,CUST04578,visit,2023-09-18
EVT0000071,CUST04578,cart,2023-09-21
EVT0000072,CUST04578,purchase,2023-09-23
EVT0000073,CUST02217,visit,2024-08-14
EVT0000074,CUST02217,cart,2024-08-14
EVT0000075,CUST02217,purchase,2024-08-16
EVT0000076,CUST01629,visit,2024-06-18
EVT0000077,CUST01629,cart,2024-06-18
EVT0000078,CUST01629,purchase,2024-06-20
EVT0000079,CUST02704,visit,2024-12-21
EVT0000080,CUST02704,cart,2024-12-24
EVT0000081,CUST02704,purchase,2024-12-27
EVT0000082,CUST02003,visit,2024-05-14
EVT0000083,CUST02003,cart,2024-05-13
EVT0000084,CUST02003,purchase,2024-05-16
EVT0000085,CUST04217,visit,2024-08-08
EVT0000086,CUST04217,cart,2024-08-14
EVT0000087,CUST04217,purchase,2024-08-14
EVT0000088,CUST02004,visit,2024-09-29
EVT0000089,CUST02004,cart,2024-09-29
EVT0000090,CUST02004,purchase,2024-09-30
EVT0000091,CUST03694,visit,2024-11-24
EVT0000092,CUST03694,cart,2024-11-27
EVT0000093,CUST03694,purchase,2024-11-27
EVT0000094,CUST04035,visit,2024-12-21
EVT0000095,CUST04035,cart,2024-12-26
EVT0000096,CUST04035,purchase,2024-12-26
EVT0000097,CUST04590,visit,2023-01-24
EVT0000098,CUST04590,cart,2023-01-26
EVT0000099,CUST04590,purchase,2023-01-27
EVT0000100,CUST02803,visit,2024-12-21
EVT0000101,CUST02803,cart,2024-12-26
EVT0000102,CUST02803,purchase,2024-12-26
EVT0000103,CUST01486,visit,2024-01-03
EVT0000104,CUST01486,cart,2024-01-06
EVT0000105,CUST01486,purchase,2024-01-07
EVT0000106,CUST04257,visit,2024-01-17
EVT0000107,CUST04257,cart,2024-01-20
EVT0000108,CUST04257,purchase,2024-01-22
