customer_id,total_revenue,avg_order_value,order_count,first_order,last_order,customer_lifetime_days,signup_date,state,acquisition_channel,age,gender,historical_clv,purchase_frequency,clv_segment
CUST00002,125663.5,41887.833333333336,3,2024-09-01,2024-12-22,113,2024-08-26,Tamil Nadu,Direct,24,Other,125663.5,0.6293706293706294,High
CUST00004,45998.48,22999.24,2,2024-05-10,2024-09-01,115,2023-11-04,Karnataka,Paid Search,50,Other,45998.48,0.4137931034482758,Medium
CUST00007,39782.06,39782.06,1,2024-07-26,2024-07-26,1,2023-02-06,Maharashtra,Direct,45,F,39782.06,0.9677419354838709,Low
CUST00009,124605.56999999999,62302.784999999996,2,2024-09-23,2024-10-17,25,2024-02-16,Karnataka,Organic,40,F,124605.56999999999,1.0909090909090908,High
CUST00011,104137.0,26034.25,4,2023-09-16,2024-12-30,472,2023-06-21,Karnataka,Organic,53,F,104137.0,0.2390438247011952,High
CUST00013,178517.88,178517.88,1,2024-11-03,2024-11-03,1,2023-07-09,Maharashtra,Paid Search,36,M,178517.88,0.9677419354838709,Very High
CUST00016,52465.28,26232.64,2,2023-11-17,2024-02-21,97,2023-06-29,Uttar Pradesh,Direct,59,M,52465.28,0.47244094488188976,Medium
CUST00018,93116.29999999999,31038.766666666663,3,2024-11-13,2024-12-06,24,2024-07-18,Uttar Pradesh,Direct,53,M,93116.29999999999,1.6666666666666665,High
CUST00020,17360.08,17360.08,1,2024-08-15,2024-08-15,1,2023-10-18,West Bengal,Organic,31,Other,17360.08,0.9677419354838709,Low
CUST00021,84246.77,84246.77,1,2024-10-07,2024-10-07,1,2024-08-14,Gujarat,Direct,49,F,84246.77,0.9677419354838709,High
CUST00023,117004.81999999999,39001.60666666667,3,2024-09-12,2024-12-03,83,2024-08-13,Uttar Pradesh,Email,45,Other,117004.81999999999,0.7964601769911505,High
CUST00025,39486.299999999996,7897.259999999999,5,2023-06-09,2024-11-04,515,2023-05-13,Rajasthan,Organic,25,M,39486.299999999996,0.2752293577981651,Low
CUST00031,116640.07,116640.07,1,2024-05-02,2024-05-02,1,2023-04-28,Uttar Pradesh,Paid Search,50,M,116640.07,0.9677419354838709,High
CUST00035,46668.67,46668.67,1,2024-12-29,2024-12-29,1,2024-12-28,Karnataka,Social Media,33,M,46668.67,0.9677419354838709,Medium
CUST00036,39729.09,19864.545,2,2024-07-23,2024-08-11,20,2024-04-28,Tamil Nadu,Organic,23,Other,39729.09,1.2000000000000002,Low
CUST00037,372536.09,93134.0225,4,2024-10-16,2024-12-24,70,2024-06-04,Rajasthan,Email,26,M,372536.09,1.2,Very High
CUST00038,299658.3,42808.32857142857,7,2024-05-11,2024-09-14,127,2024-03-04,Rajasthan,Paid Search,34,Other,299658.3,1.3375796178343948,Very High
CUST00039,318925.99,39865.74875,8,2024-06-06,2024-12-24,202,2024-04-08,West Bengal,Email,64,Other,318925.99,1.0344827586206897,Very High
CUST00040,85637.42,85637.42,1,2024-12-12,2024-12-12,1,2024-10-24,Tamil Nadu,Social Media,43,Other,85637.42,0.9677419354838709,High
CUST00043,96778.47,32259.49,3,2024-09-01,2024-12-24,115,2024-05-15,Tamil Nadu,Paid Search,18,M,96778.47,0.6206896551724137,High
CUST00044,5208.75,5208.75,1,2024-12-26,2024-12-26,1,2023-08-15,Maharashtra,Organic,20,F,5208.75,0.9677419354838709,Very Low
CUST00046,95302.03,47651.015,2,2024-07-11,2024-09-28,80,2024-06-23,Rajasthan,Email,26,Other,95302.03,0.5454545454545455,High
CUST00048,32275.550000000003,32275.550000000003,1,2024-12-06,2024-12-06,1,2024-11-04,Karnataka,Direct,45,F,32275.550000000003,0.9677419354838709,Low
CUST00049,48642.41,48642.41,1,2024-03-20,2024-03-20,1,2023-09-14,West Bengal,Referral,64,M,48642.41,0.9677419354838709,Medium
CUST00050,17536.86,8768.43,2,2024-12-24,2024-12-29,6,2024-11-25,Karnataka,Referral,64,F,17536.86,1.6666666666666667,Low
CUST00052,31308.5,15654.25,2,2024-04-24,2024-08-11,110,2023-01-19,Rajasthan,Referral,29,F,31308.5,0.4285714285714286,Low
CUST00055,119073.88999999998,59536.94499999999,2,2024-10-23,2024-12-30,69,2024-10-13,Karnataka,Paid Search,44,F,119073.88999999998,0.6060606060606061,High
CUST00056,156945.82,52315.27333333334,3,2023-11-07,2024-08-31,299,2023-10-19,Rajasthan,Referral,21,M,156945.82,0.2735562310030395,Very High
