product_1,product_2,count,pct_of_transactions
PROD00154,PROD00428,3,0.10645848119233499
PROD00038,PROD00143,2,0.07097232079488999
PROD00191,PROD00488,2,0.07097232079488999
PROD00135,PROD00257,2,0.07097232079488999
PROD00053,PROD00142,2,0.07097232079488999
PROD00280,PROD00348,2,0.07097232079488999
PROD00004,PROD00456,2,0.07097232079488999
PROD00035,PROD00335,2,0.07097232079488999
PROD00364,PROD00489,2,0.07097232079488999
PROD00006,PROD00053,2,0.07097232079488999
PROD00255,PROD00447,2,0.07097232079488999
PROD00067,PROD00329,2,0.07097232079488999
PROD00233,PROD00329,2,0.07097232079488999
PROD00030,PROD00045,2,0.07097232079488999
PROD00217,PROD00436,2,0.07097232079488999
PROD00430,PROD00451,2,0.07097232079488999
PROD00055,PROD00288,2,0.07097232079488999
PROD00369,PROD00422,2,0.07097232079488999
PROD00032,PROD00202,2,0.07097232079488999
PROD00388,PROD00427,2,0.07097232079488999
PROD00286,PROD00395,2,0.07097232079488999
PROD00152,PROD00344,2,0.07097232079488999
PROD00201,PROD00217,2,0.07097232079488999
PROD00040,PROD00341,2,0.07097232079488999
PROD00165,PROD00436,2,0.07097232079488999
PROD00129,PROD00350,2,0.07097232079488999
PROD00219,PROD00419,2,0.07097232079488999
PROD00320,PROD00359,2,0.07097232079488999
PROD00397,PROD00432,2,0.07097232079488999
PROD00105,PROD00165,2,0.07097232079488999
PROD00286,PROD00333,2,0.07097232079488999
PROD00127,PROD00233,2,0.07097232079488999
PROD00285,PROD00398,2,0.07097232079488999
PROD00164,PROD00244,2,0.07097232079488999
PROD00103,PROD00477,2,0.07097232079488999
PROD00286,PROD00425,2,0.07097232079488999
PROD00165,PROD00229,2,0.07097232079488999
PROD00143,PROD00204,2,0.07097232079488999
PROD00089,PROD00171,2,0.07097232079488999
PROD00187,PROD00378,2,0.07097232079488999
PROD00198,PROD00340,2,0.07097232079488999
PROD00073,PROD00300,2,0.07097232079488999
PROD00135,PROD00439,2,0.07097232079488999
PROD00039,PROD00258,2,0.07097232079488999
PROD00253,PROD00312,2,0.07097232079488999
PROD00360,PROD00470,2,0.07097232079488999
PROD00224,PROD00344,2,0.07097232079488999
PROD00140,PROD00463,2,0.07097232079488999
PROD00188,PROD00398,2,0.07097232079488999
PROD00001,PROD00050,2,0.07097232079488999
PROD00226,PROD00361,2,0.07097232079488999
PROD00073,PROD00171,2,0.07097232079488999
PROD00372,PROD00399,2,0.07097232079488999
PROD00002,PROD00121,2,0.07097232079488999
PROD00121,PROD00340,2,0.07097232079488999
PROD00148,PROD00289,2,0.07097232079488999
PROD00241,PROD00274,2,0.07097232079488999
PROD00159,PROD00282,2,0.07097232079488999
PROD00140,PROD00258,2,0.07097232079488999
PROD00258,PROD00315,2,0.07097232079488999
PROD00225,PROD00344,2,0.07097232079488999
PROD00332,PROD00367,2,0.07097232079488999
PROD00299,PROD00407,2,0.07097232079488999
PROD00038,PROD00304,2,0.07097232079488999
PROD00050,PROD00302,2,0.07097232079488999
PROD00166,PROD00250,2,0.07097232079488999
PROD00128,PROD00449,2,0.07097232079488999
PROD00127,PROD00171,2,0.07097232079488999
PROD00056,PROD00281,2,0.07097232079488999
PROD00306,PROD00378,2,0.07097232079488999
PROD00222,PROD00404,2,0.07097232079488999
PROD00080,PROD00392,2,0.07097232079488999
PROD00163,PROD00402,2,0.07097232079488999
PROD00014,PROD00127,2,0.07097232079488999
PROD00173,PROD00270,2,0.07097232079488999
PROD00051,PROD00382,2,0.07097232079488999
PROD00048,PROD00476,2,0.07097232079488999
PROD00302,PROD00407,2,0.07097232079488999
PROD00093,PROD00288,2,0.07097232079488999
PROD00395,PROD00475,2,0.07097232079488999
PROD00137,PROD00486,2,0.07097232079488999
PROD00312,PROD00370,2,0.07097232079488999
PROD00141,PROD00239,2,0.07097232079488999
PROD00136,PROD00381,2,0.07097232079488999
PROD00098,PROD00238,2,0.07097232079488999
PROD00025,PROD00110,2,0.07097232079488999
PROD00022,PROD00305,2,0.07097232079488999
PROD00211,PROD00305,2,0.07097232079488999
PROD00057,PROD00400,2,0.07097232079488999
PROD00312,PROD00490,2,0.07097232079488999
PROD00127,PROD00273,2,0.07097232079488999
PROD00174,PROD00448,2,0.07097232079488999
PROD00275,PROD00450,2,0.07097232079488999
