customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,RFM_total,segment,city,state,acquisition_channel
CUST00002,8,3,125663.5,5,4,4,544,13,Champions,Chennai,Tamil Nadu,Direct
CUST00004,120,2,45998.48,3,3,3,333,9,Promising,Bangalore,Karnataka,Paid Search
CUST00007,157,1,39782.06,2,1,2,212,5,Need Attention,Mumbai,Maharashtra,Direct
CUST00009,74,2,124605.56999999999,3,3,4,334,10,Promising,Mysore,Karnataka,Organic
CUST00011,0,4,104137.0,5,5,4,554,14,Champions,Mysore,Karnataka,Organic
CUST00013,57,1,178517.88,4,1,5,415,10,New Customers,Nagpur,Maharashtra,Paid Search
CUST00016,313,2,52465.28,1,3,3,133,7,At Risk,Agra,Uttar Pradesh,Direct
CUST00018,24,3,93116.29999999999,4,4,4,444,12,Champions,Agra,Uttar Pradesh,Direct
CUST00020,137,1,17360.08,2,1,2,212,5,Need Attention,Siliguri,West Bengal,Organic
CUST00021,84,1,84246.77,3,1,4,314,8,Promising,Ahmedabad,Gujarat,Direct
CUST00023,27,3,117004.81999999999,4,4,4,444,12,Champions,Agra,Uttar Pradesh,Email
CUST00025,56,5,39486.299999999996,4,5,2,452,11,Loyal,Jaipur,Rajasthan,Organic
CUST00031,242,1,116640.07,1,1,4,114,6,Cannot Lose,Agra,Uttar Pradesh,Paid Search
CUST00035,1,1,46668.67,5,1,3,513,9,New Customers,Mysore,Karnataka,Social Media
CUST00036,141,2,39729.09,2,3,2,232,7,Need Attention,Madurai,Tamil Nadu,Organic
CUST00037,6,4,372536.09,5,5,5,555,15,Champions,Jaipur,Rajasthan,Email
CUST00038,107,7,299658.3,3,5,5,355,13,Loyal,Udaipur,Rajasthan,Paid Search
CUST00039,6,8,318925.99,5,5,5,555,15,Champions,Kolkata,West Bengal,Email
CUST00040,18,1,85637.42,5,1,4,514,10,New Customers,Madurai,Tamil Nadu,Social Media
CUST00043,6,3,96778.47,5,4,4,544,13,Champions,Madurai,Tamil Nadu,Paid Search
CUST00044,4,1,5208.75,5,1,1,511,7,New Customers,Mumbai,Maharashtra,Organic
CUST00046,93,2,95302.03,3,3,4,334,10,Promising,Jaipur,Rajasthan,Email
CUST00048,24,1,32275.550000000003,4,1,2,412,7,New Customers,Bangalore,Karnataka,Direct
CUST00049,285,1,48642.41,1,1,3,113,5,Hibernating,Siliguri,West Bengal,Referral
CUST00050,1,2,17536.86,5,3,2,532,10,Potential Loyalist,Bangalore,Karnataka,Referral
CUST00052,141,2,31308.5,2,3,2,232,7,Need Attention,Jaipur,Rajasthan,Referral
CUST00055,0,2,119073.88999999998,5,3,4,534,12,Potential Loyalist,Bangalore,Karnataka,Paid Search
CUST00056,121,3,156945.82,2,4,5,245,11,Loyal,Jaipur,Rajasthan,Referral
CUST00057,4,6,197817.7,5,5,5,555,15,Champions,Kolkata,West Bengal,Referral
CUST00058,309,2,54932.66,1,3,3,133,7,At Risk,Kanpur,Uttar Pradesh,Direct
CUST00062,29,1,16762.3,4,1,1,411,6,New Customers,New Delhi,Delhi,Email
CUST00064,39,1,11209.81,4,1,1,411,6,New Customers,Kolkata,West Bengal,Email
CUST00065,189,3,220357.43,2,4,5,245,11,Loyal,Nagpur,Maharashtra,Organic
CUST00066,133,2,61822.03999999999,2,3,3,233,8,Need Attention,Surat,Gujarat,Paid Search
CUST00067,276,2,29605.269999999997,1,3,2,132,6,At Risk,Ahmedabad,Gujarat,Social Media
CUST00068,35,9,248517.89,4,5,5,455,14,Champions,Kanpur,Uttar Pradesh,Social Media
CUST00070,4,2,88898.97,5,3,4,534,12,Potential Loyalist,Madurai,Tamil Nadu,Social Media
CUST00071,114,2,24402.03,3,3,2,332,8,Need Attention,Bangalore,Karnataka,Social Media
CUST00072,22,3,181040.24,4,4,5,445,13,Champions,Udaipur,Rajasthan,Direct
CUST00075,269,1,7662.73,1,1,1,111,3,Hibernating,Delhi,Delhi,Social Media
CUST00077,149,2,11891.81,2,3,1,231,6,Need Attention,Jodhpur,Rajasthan,Organic
CUST00078,27,5,138303.07,4,5,4,454,13,Champions,Siliguri,West Bengal,Organic
CUST00081,88,1,19586.05,3,1,2,312,6,Need Attention,New Delhi,Delhi,Social Media
CUST00082,87,1,21439.57,3,1,2,312,6,Need Attention,Delhi,Delhi,Paid Search
CUST00086,169,1,46473.13,2,1,3,213,6,Need Attention,Kolkata,West Bengal,Paid Search
CUST00087,216,3,154202.15000000002,2,4,5,245,11,Loyal,Kolkata,West Bengal,Social Media
CUST00088,111,1,23106.86,3,1,2,312,6,Need Attention,Mysore,Karnataka,Organic
CUST00089,29,1,87109.22,4,1,4,414,9,New Customers,Coimbatore,Tamil Nadu,Social Media
CUST00090,14,2,283074.87,5,3,5,535,13,Potential Loyalist,Chennai,Tamil Nadu,Direct
CUST00095,12,1,23369.6,5,1,2,512,8,New Customers,Mysore,Karnataka,Email
CUST00096,53,3,100926.25,4,4,4,444,12,Champions,Nagpur,Maharashtra,Referral
CUST00102,79,2,11692.46,3,3,1,331,7,Need Attention,Delhi,Delhi,Referral
CUST00104,89,4,551237.45,3,5,5,355,13,Loyal,Surat,Gujarat,Referral
CUST00108,37,3,194321.15000000002,4,4,5,445,13,Champions,Chennai,Tamil Nadu,Paid Search
CUST00112,0,2,74607.62,5,3,3,533,11,Potential Loyalist,Mumbai,Maharashtra,Referral
CUST00115,86,3,189303.48,3,4,5,345,12,Loyal,Surat,Gujarat,Email
CUST00118,15,1,43279.17,5,1,3,513,9,New Customers,Udaipur,Rajasthan,Paid Search
CUST00122,204,1,18878.65,2,1,2,212,5,Need Attention,Chennai,Tamil Nadu,Referral
CUST00123,136,2,24674.53,2,3,2,232,7,Need Attention,Jodhpur,Rajasthan,Organic
CUST00125,100,2,90586.58000000002,3,3,4,334,10,Promising,Pune,Maharashtra,Social Media
CUST00127,18,4,295023.26,5,5,5,555,15,Champions,Jaipur,Rajasthan,Referral
CUST00130,10,5,155562.63,5,5,5,555,15,Champions,Mumbai,Maharashtra,Direct
CUST00133,251,1,24590.74,1,1,2,112,4,Hibernating,Siliguri,West Bengal,Referral
CUST00135,296,3,124298.5,1,4,4,144,9,Loyal,Ahmedabad,Gujarat,Direct
CUST00140,267,1,26701.99,1,1,2,112,4,Hibernating,Bangalore,Karnataka,Social Media
CUST00142,27,2,21385.019999999997,4,3,2,432,9,Potential Loyalist,Kolkata,West Bengal,Organic
CUST00143,62,5,179147.90000000002,3,5,5,355,13,Loyal,Chennai,Tamil Nadu,Direct
CUST00145,213,2,3697.4300000000003,2,3,1,231,6,Need Attention,Siliguri,West Bengal,Organic
CUST00146,69,1,93566.44,3,1,4,314,8,Promising,Ahmedabad,Gujarat,Referral
CUST00147,89,1,75548.72,3,1,3,313,7,Promising,Siliguri,West Bengal,Direct
CUST00148,170,2,45880.130000000005,2,3,3,233,8,Need Attention,Delhi,Delhi,Paid Search
CUST00149,300,1,1082.53,1,1,1,111,3,Hibernating,Agra,Uttar Pradesh,Email
CUST00151,54,2,60566.840000000004,4,3,3,433,10,Potential Loyalist,Kanpur,Uttar Pradesh,Paid Search
CUST00152,487,1,1671.95,1,1,1,111,3,Hibernating,Siliguri,West Bengal,Organic
CUST00153,143,2,8938.24,2,3,1,231,6,Need Attention,Delhi,Delhi,Paid Search
CUST00154,16,1,17114.71,5,1,2,512,8,New Customers,Surat,Gujarat,Email
CUST00158,137,2,29862.230000000003,2,3,2,232,7,Need Attention,Mumbai,Maharashtra,Social Media
CUST00161,15,2,310621.82,5,3,5,535,13,Potential Loyalist,Surat,Gujarat,Direct
CUST00162,57,2,6086.5599999999995,4,3,1,431,8,Potential Loyalist,Kanpur,Uttar Pradesh,Paid Search
CUST00163,223,1,3533.74,2,1,1,211,4,Need Attention,Coimbatore,Tamil Nadu,Organic
CUST00165,7,4,91763.94,5,5,4,554,14,Champions,Agra,Uttar Pradesh,Email
CUST00168,59,2,92050.45000000001,4,3,4,434,11,Potential Loyalist,Delhi,Delhi,Organic
CUST00169,179,1,15024.78,2,1,1,211,4,Need Attention,Agra,Uttar Pradesh,Paid Search
CUST00170,526,1,22918.63,1,1,2,112,4,Hibernating,Bangalore,Karnataka,Email
CUST00171,50,5,115684.15999999999,4,5,4,454,13,Champions,Jodhpur,Rajasthan,Social Media
CUST00172,66,2,45570.649999999994,3,3,3,333,9,Promising,Kanpur,Uttar Pradesh,Organic
CUST00174,18,5,170739.52000000002,5,5,5,555,15,Champions,Mumbai,Maharashtra,Paid Search
CUST00175,482,1,18115.0,1,1,2,112,4,Hibernating,Bangalore,Karnataka,Organic
CUST00176,13,1,35204.24,5,1,2,512,8,New Customers,Madurai,Tamil Nadu,Referral
CUST00178,5,2,88554.14,5,3,4,534,12,Potential Loyalist,Nagpur,Maharashtra,Direct
CUST00180,45,3,40735.05,4,4,2,442,10,Loyal,Chennai,Tamil Nadu,Email
CUST00183,91,3,36929.46,3,4,2,342,9,Loyal,Agra,Uttar Pradesh,Referral
CUST00185,5,1,10289.09,5,1,1,511,7,New Customers,Coimbatore,Tamil Nadu,Organic
CUST00187,66,1,780.31,3,1,1,311,5,Need Attention,Delhi,Delhi,Email
CUST00188,276,1,3357.72,1,1,1,111,3,Hibernating,Kanpur,Uttar Pradesh,Organic
CUST00190,204,2,19853.920000000002,2,3,2,232,7,Need Attention,Jodhpur,Rajasthan,Organic
CUST00193,133,2,31335.98,2,3,2,232,7,Need Attention,Nagpur,Maharashtra,Social Media
CUST00197,46,2,43873.86,4,3,3,433,10,Potential Loyalist,Surat,Gujarat,Direct
CUST00198,452,2,101318.06,1,3,4,134,8,At Risk,Surat,Gujarat,Direct
CUST00201,195,2,61495.229999999996,2,3,3,233,8,Need Attention,Nagpur,Maharashtra,Email
CUST00202,146,1,113680.41,2,1,4,214,7,Need Attention,Mumbai,Maharashtra,Email
CUST00203,43,2,57938.15,4,3,3,433,10,Potential Loyalist,Udaipur,Rajasthan,Referral
CUST00209,34,5,120206.01,4,5,4,454,13,Champions,Udaipur,Rajasthan,Social Media
CUST00212,1,2,14255.79,5,3,1,531,9,Potential Loyalist,New Delhi,Delhi,Social Media
CUST00214,0,4,39623.25,5,5,2,552,12,Loyal,Jaipur,Rajasthan,Referral
CUST00216,44,3,280769.7,4,4,5,445,13,Champions,Jodhpur,Rajasthan,Paid Search
CUST00219,151,3,49064.53999999999,2,4,3,243,9,Loyal,Delhi,Delhi,Organic
CUST00220,22,2,57340.42,4,3,3,433,10,Potential Loyalist,Ahmedabad,Gujarat,Referral
CUST00221,169,1,46176.829999999994,2,1,3,213,6,Need Attention,Jaipur,Rajasthan,Direct
CUST00222,31,2,85623.67,4,3,4,434,11,Potential Loyalist,New Delhi,Delhi,Referral
CUST00224,2,2,52638.18,5,3,3,533,11,Potential Loyalist,Siliguri,West Bengal,Direct
CUST00225,24,1,69324.08,4,1,3,413,8,New Customers,Nagpur,Maharashtra,Organic
CUST00233,27,3,92127.64000000001,4,4,4,444,12,Champions,Coimbatore,Tamil Nadu,Direct
CUST00235,131,1,1052.06,2,1,1,211,4,Need Attention,New Delhi,Delhi,Referral
CUST00236,85,1,17445.85,3,1,2,312,6,Need Attention,Agra,Uttar Pradesh,Referral
CUST00237,434,1,25420.15,1,1,2,112,4,Hibernating,Jodhpur,Rajasthan,Paid Search
CUST00241,19,2,105535.08,5,3,4,534,12,Potential Loyalist,Nagpur,Maharashtra,Direct
CUST00242,24,3,180958.59,4,4,5,445,13,Champions,Madurai,Tamil Nadu,Social Media
CUST00243,328,1,2267.67,1,1,1,111,3,Hibernating,Madurai,Tamil Nadu,Social Media
CUST00244,6,3,316390.31,5,4,5,545,14,Champions,New Delhi,Delhi,Direct
CUST00246,0,2,19564.15,5,3,2,532,10,Potential Loyalist,New Delhi,Delhi,Social Media
CUST00247,50,8,201870.78999999998,4,5,5,455,14,Champions,Kolkata,West Bengal,Paid Search
CUST00248,75,3,64715.7,3,4,3,343,10,Loyal,Vadodara,Gujarat,Email
CUST00251,49,3,71282.97,4,4,3,443,11,Loyal,Siliguri,West Bengal,Organic
CUST00253,13,2,20938.67,5,3,2,532,10,Potential Loyalist,Agra,Uttar Pradesh,Referral
CUST00254,368,2,35735.88,1,3,2,132,6,At Risk,Hubli,Karnataka,Paid Search
CUST00256,110,1,49485.83,3,1,3,313,7,Promising,Udaipur,Rajasthan,Social Media
CUST00258,88,1,134322.29,3,1,4,314,8,Promising,Jaipur,Rajasthan,Organic
CUST00259,632,1,8500.93,1,1,1,111,3,Hibernating,Delhi,Delhi,Referral
CUST00260,37,4,240094.35,4,5,5,455,14,Champions,Kolkata,West Bengal,Referral
CUST00261,9,4,45864.06,5,5,3,553,13,Loyal,Udaipur,Rajasthan,Referral
CUST00262,433,2,174968.37,1,3,5,135,9,At Risk,Ahmedabad,Gujarat,Referral
CUST00263,142,2,49617.200000000004,2,3,3,233,8,Need Attention,Ahmedabad,Gujarat,Direct
CUST00264,204,1,37811.26,2,1,2,212,5,Need Attention,Ahmedabad,Gujarat,Referral
CUST00266,61,2,67052.20999999999,3,3,3,333,9,Promising,Mumbai,Maharashtra,Social Media
CUST00268,10,1,62629.78,5,1,3,513,9,New Customers,Chennai,Tamil Nadu,Social Media
CUST00269,77,3,91177.81,3,4,4,344,11,Loyal,Pune,Maharashtra,Paid Search
CUST00270,55,1,61876.95,4,1,3,413,8,New Customers,Lucknow,Uttar Pradesh,Organic
CUST00271,269,1,14578.17,1,1,1,111,3,Hibernating,New Delhi,Delhi,Social Media
CUST00274,26,3,50013.45,4,4,3,443,11,Loyal,Mysore,Karnataka,Referral
CUST00277,35,6,151292.4,4,5,5,455,14,Champions,Udaipur,Rajasthan,Organic
CUST00278,23,2,26151.01,4,3,2,432,9,Potential Loyalist,Siliguri,West Bengal,Direct
CUST00280,32,2,55772.93,4,3,3,433,10,Potential Loyalist,New Delhi,Delhi,Paid Search
CUST00282,314,3,150388.56,1,4,5,145,10,Loyal,Udaipur,Rajasthan,Email
CUST00283,0,5,126666.06999999999,5,5,4,554,14,Champions,Hubli,Karnataka,Direct
CUST00284,105,1,67543.28,3,1,3,313,7,Promising,Coimbatore,Tamil Nadu,Referral
CUST00286,419,2,218262.46,1,3,5,135,9,At Risk,Mysore,Karnataka,Referral
CUST00288,8,5,257110.11000000002,5,5,5,555,15,Champions,Bangalore,Karnataka,Organic
CUST00289,200,2,42711.71,2,3,2,232,7,Need Attention,Hubli,Karnataka,Direct
CUST00290,306,2,55379.87,1,3,3,133,7,At Risk,Nagpur,Maharashtra,Email
CUST00292,462,1,1125.09,1,1,1,111,3,Hibernating,Pune,Maharashtra,Email
CUST00293,66,3,80587.21,3,4,4,344,11,Loyal,Hubli,Karnataka,Email
CUST00296,22,6,413468.58999999997,4,5,5,455,14,Champions,Kolkata,West Bengal,Email
CUST00298,56,3,103336.06,4,4,4,444,12,Champions,Kanpur,Uttar Pradesh,Social Media
CUST00300,80,3,137122.69,3,4,4,344,11,Loyal,Mumbai,Maharashtra,Direct
CUST00301,221,1,49092.53,2,1,3,213,6,Need Attention,Siliguri,West Bengal,Referral
CUST00302,201,3,65330.95,2,4,3,243,9,Loyal,Surat,Gujarat,Direct
CUST00303,181,2,67059.95000000001,2,3,3,233,8,Need Attention,Bangalore,Karnataka,Paid Search
CUST00308,301,1,155098.38999999998,1,1,5,115,7,Cannot Lose,Udaipur,Rajasthan,Direct
CUST00309,229,1,1831.34,2,1,1,211,4,Need Attention,Coimbatore,Tamil Nadu,Email
CUST00310,447,1,3206.28,1,1,1,111,3,Hibernating,Coimbatore,Tamil Nadu,Paid Search
CUST00311,1,5,82480.51999999999,5,5,4,554,14,Champions,Kanpur,Uttar Pradesh,Organic
CUST00312,42,1,9339.970000000001,4,1,1,411,6,New Customers,Kolkata,West Bengal,Paid Search
CUST00313,22,1,2342.68,4,1,1,411,6,New Customers,Madurai,Tamil Nadu,Email
CUST00314,199,2,23211.269999999997,2,3,2,232,7,Need Attention,Mysore,Karnataka,Direct
CUST00316,189,1,955.41,2,1,1,211,4,Need Attention,Siliguri,West Bengal,Direct
CUST00321,80,1,54250.29,3,1,3,313,7,Promising,Ahmedabad,Gujarat,Social Media
CUST00322,134,2,43895.86,2,3,3,233,8,Need Attention,Hubli,Karnataka,Email
CUST00324,290,1,75707.68999999999,1,1,3,113,5,Hibernating,Bangalore,Karnataka,Social Media
CUST00327,138,1,32173.510000000002,2,1,2,212,5,Need Attention,Vadodara,Gujarat,Social Media
CUST00330,67,3,66076.65,3,4,3,343,10,Loyal,Mysore,Karnataka,Referral
CUST00331,18,1,47553.02,5,1,3,513,9,New Customers,Pune,Maharashtra,Social Media
CUST00333,142,1,51835.59,2,1,3,213,6,Need Attention,Udaipur,Rajasthan,Email
CUST00335,69,3,40070.2,3,4,2,342,9,Loyal,Udaipur,Rajasthan,Paid Search
CUST00336,29,2,118575.36,4,3,4,434,11,Potential Loyalist,Mysore,Karnataka,Direct
CUST00338,86,1,18517.89,3,1,2,312,6,Need Attention,Udaipur,Rajasthan,Email
CUST00341,322,1,1724.58,1,1,1,111,3,Hibernating,Ahmedabad,Gujarat,Social Media
CUST00343,7,6,444058.49999999994,5,5,5,555,15,Champions,Delhi,Delhi,Organic
CUST00344,20,4,436315.59,5,5,5,555,15,Champions,Delhi,Delhi,Social Media
CUST00345,87,2,80096.63,3,3,4,334,10,Promising,Kolkata,West Bengal,Email
CUST00346,601,1,5090.77,1,1,1,111,3,Hibernating,Agra,Uttar Pradesh,Referral
CUST00350,86,1,7253.78,3,1,1,311,5,Need Attention,New Delhi,Delhi,Organic
CUST00353,176,2,38038.36,2,3,2,232,7,Need Attention,Delhi,Delhi,Organic
CUST00356,546,2,7469.400000000001,1,3,1,131,5,At Risk,Jaipur,Rajasthan,Social Media
