order_item_id,order_id,product_id,quantity,revenue,discount,cost
ITEM0000001,ORD000001,PROD00242,1,3411.54,199.46,2347.15
ITEM0000002,ORD000001,PROD00465,1,12266.62,961.38,9921.0
ITEM0000003,ORD000001,PROD00137,1,13732.59,1724.41,13602.16
ITEM0000004,ORD000002,PROD00189,1,1234.14,92.86,862.55
ITEM0000005,ORD000003,PROD00011,3,130869.33,12599.67,126252.72
ITEM0000006,ORD000004,PROD00209,2,3281.28,8.72,2138.5
ITEM0000007,ORD000004,PROD00350,1,9692.31,186.69,7409.25
ITEM0000008,ORD000004,PROD00471,2,19321.07,1658.93,15735.0
ITEM0000009,ORD000005,PROD00141,1,7298.16,671.84,7013.6
ITEM0000010,ORD000005,PROD00418,1,9400.72,757.28,7618.5
ITEM0000011,ORD000005,PROD00271,1,3732.31,143.69,2519.4
ITEM0000012,ORD000006,PROD00170,1,2360.87,114.13,1608.75
ITEM0000013,ORD000007,PROD00489,1,17710.29,519.71,13672.5
ITEM0000014,ORD000008,PROD00428,1,9180.35,735.65,7437.0
ITEM0000015,ORD000009,PROD00433,1,9532.63,338.37,7403.25
ITEM0000016,ORD000009,PROD00223,1,4576.2,383.8,3224.0
ITEM0000017,ORD000010,PROD00443,1,20540.55,648.45,15891.75
ITEM0000018,ORD000010,PROD00035,1,50391.39,6707.61,50247.12
ITEM0000019,ORD000010,PROD00332,1,8490.3,279.7,6577.5
ITEM0000020,ORD000010,PROD00229,1,4084.09,104.91,2722.85
ITEM0000021,ORD000011,PROD00422,1,23502.7,673.3,18132.0
ITEM0000022,ORD000012,PROD00490,2,30125.42,160.58,22714.5
ITEM0000023,ORD000012,PROD00350,1,9419.5,459.5,7409.25
ITEM0000024,ORD000013,PROD00146,1,10593.51,565.49,9819.92
ITEM0000025,ORD000014,PROD00439,1,2654.37,294.63,2211.75
ITEM0000026,ORD000015,PROD00358,2,35210.31,1045.69,27192.0
ITEM0000027,ORD000016,PROD00161,1,58124.06,7781.94,57997.28
ITEM0000028,ORD000016,PROD00366,2,40733.08,3988.92,33541.5
ITEM0000029,ORD000016,PROD00180,1,3305.62,57.38,2185.95
ITEM0000030,ORD000017,PROD00441,1,15989.7,827.3,12612.75
ITEM0000031,ORD000018,PROD00213,2,6508.84,203.16,4362.8
ITEM0000032,ORD000019,PROD00175,1,1439.86,89.14,993.85
ITEM0000033,ORD000019,PROD00266,3,3283.71,235.29,2287.35
ITEM0000034,ORD000019,PROD00287,2,3779.54,314.46,2661.1
ITEM0000035,ORD000020,PROD00143,2,32338.1,5281.9,33105.6
ITEM0000036,ORD000020,PROD00038,1,31444.42,2978.58,30292.24
ITEM0000037,ORD000021,PROD00132,1,17819.44,2132.56,17557.76
ITEM0000038,ORD000022,PROD00124,1,30626.53,2899.47,29502.88
ITEM0000039,ORD000023,PROD00448,1,5175.62,549.38,4293.75
ITEM0000040,ORD000023,PROD00471,2,19573.26,1406.74,15735.0
ITEM0000041,ORD000024,PROD00095,3,177193.75,19768.25,173326.56
ITEM0000042,ORD000024,PROD00124,3,92135.97,8442.03,88508.64
ITEM0000043,ORD000024,PROD00255,2,3384.68,209.32,2336.1
ITEM0000044,ORD000025,PROD00324,1,2725.14,53.86,1806.35
ITEM0000045,ORD000026,PROD00373,1,13079.74,1181.26,10695.75
ITEM0000046,ORD000027,PROD00293,3,1692.78,8.22,1105.65
ITEM0000047,ORD000028,PROD00278,1,3005.84,236.16,2107.3
ITEM0000048,ORD000029,PROD00332,3,25101.39,1208.61,19732.5
ITEM0000049,ORD000030,PROD00069,1,27303.23,4.77,24031.04
