product_id,category,sub_category,price,cost
PROD00001,Electronics,Smartphones,61989,54550.32
PROD00002,Electronics,Smartphones,29111,25617.68
PROD00003,Electronics,Smartphones,46414,40844.32
PROD00004,Electronics,Smartphones,13204,11619.52
PROD00005,Electronics,Smartphones,46085,40554.8
PROD00006,Electronics,Smartphones,28794,25338.72
PROD00007,Electronics,Smartphones,21020,18497.6
PROD00008,Electronics,Smartphones,63349,55747.12
PROD00009,Electronics,Smartphones,45072,39663.36
PROD00010,Electronics,Smartphones,58555,51528.4
PROD00011,Electronics,Smartphones,47823,42084.24
PROD00012,Electronics,Smartphones,32879,28933.52
PROD00013,Electronics,Smartphones,47917,42166.96
PROD00014,Electronics,Smartphones,34678,30516.64
PROD00015,Electronics,Smartphones,68259,60067.92
PROD00016,Electronics,Smartphones,72090,63439.2
PROD00017,Electronics,Smartphones,11553,10166.64
PROD00018,Electronics,Smartphones,18307,16110.16
PROD00019,Electronics,Smartphones,72093,63441.84
PROD00020,Electronics,Smartphones,78993,69513.84
PROD00021,Electronics,Smartphones,19074,16785.12
PROD00022,Electronics,Smartphones,51693,45489.84
PROD00023,Electronics,Smartphones,60686,53403.68
PROD00024,Electronics,Smartphones,67700,59576.0
PROD00025,Electronics,Smartphones,29640,26083.2
PROD00026,Electronics,Smartphones,43343,38141.84
PROD00027,Electronics,Smartphones,41597,36605.36
PROD00028,Electronics,Smartphones,55006,48405.28
PROD00029,Electronics,Smartphones,70085,61674.8
PROD00030,Electronics,Smartphones,16484,14505.92
PROD00031,Electronics,Smartphones,67808,59671.04
PROD00032,Electronics,Smartphones,63024,55461.12
PROD00033,Electronics,Smartphones,54663,48103.44
PROD00034,Electronics,Laptops,26310,23152.8
PROD00035,Electronics,Laptops,57099,50247.12
PROD00036,Electronics,Laptops,13559,11931.92
PROD00037,Electronics,Laptops,45683,40201.04
PROD00038,Electronics,Laptops,34423,30292.24
PROD00039,Electronics,Laptops,32512,28610.56
PROD00040,Electronics,Laptops,56911,50081.68
PROD00041,Electronics,Laptops,22898,20150.24
PROD00042,Electronics,Laptops,38679,34037.52
PROD00043,Electronics,Laptops,54292,47776.96
PROD00044,Electronics,Laptops,61362,53998.56
PROD00045,Electronics,Laptops,39339,34618.32
PROD00046,Electronics,Laptops,49755,43784.4
PROD00047,Electronics,Laptops,11902,10473.76
PROD00048,Electronics,Laptops,8800,7744.0
PROD00049,Electronics,Laptops,9840,8659.2
PROD00050,Electronics,Laptops,19701,17336.88
PROD00051,Electronics,Laptops,11320,9961.6
PROD00052,Electronics,Laptops,74765,65793.2
PROD00053,Electronics,Laptops,77627,68311.76
PROD00054,Electronics,Laptops,49601,43648.88
PROD00055,Electronics,Laptops,67874,59729.12
PROD00056,Electronics,Laptops,34868,30683.84
PROD00057,Electronics,Laptops,7223,6356.24
PROD00058,Electronics,Laptops,74637,65680.56
PROD00059,Electronics,Laptops,35664,31384.32
PROD00060,Electronics,Laptops,49614,43660.32
PROD00061,Electronics,Laptops,26459,23283.92
PROD00062,Electronics,Laptops,17478,15380.64
PROD00063,Electronics,Laptops,16139,14202.32
PROD00064,Electronics,Laptops,75818,66719.84
PROD00065,Electronics,Laptops,58686,51643.68
PROD00066,Electronics,Laptops,73428,64616.64
PROD00067,Electronics,Headphones,43077,37907.76
PROD00068,Electronics,Headphones,42681,37559.28
PROD00069,Electronics,Headphones,27308,24031.04
PROD00070,Electronics,Headphones,43641,38404.08
PROD00071,Electronics,Headphones,56100,49368.0
PROD00072,Electronics,Headphones,41298,36342.24
PROD00073,Electronics,Headphones,72449,63755.12
PROD00074,Electronics,Headphones,72725,63998.0
PROD00075,Electronics,Headphones,43999,38719.12
PROD00076,Electronics,Headphones,65007,57206.16
PROD00077,Electronics,Headphones,53589,47158.32
PROD00078,Electronics,Headphones,62414,54924.32
PROD00079,Electronics,Headphones,27373,24088.24
PROD00080,Electronics,Headphones,78536,69111.68
PROD00081,Electronics,Headphones,53619,47184.72
PROD00082,Electronics,Headphones,69261,60949.68
PROD00083,Electronics,Headphones,48069,42300.72
PROD00084,Electronics,Headphones,79844,70262.72
PROD00085,Electronics,Headphones,50682,44600.16
PROD00086,Electronics,Headphones,73144,64366.72
PROD00087,Electronics,Headphones,21569,18980.72
PROD00088,Electronics,Headphones,72936,64183.68
PROD00089,Electronics,Headphones,19570,17221.6
PROD00090,Electronics,Headphones,11729,10321.52
PROD00091,Electronics,Headphones,28481,25063.28
PROD00092,Electronics,Headphones,23803,20946.64
PROD00093,Electronics,Headphones,14366,12642.08
PROD00094,Electronics,Headphones,62816,55278.08
PROD00095,Electronics,Headphones,65654,57775.52
PROD00096,Electronics,Headphones,75623,66548.24
PROD00097,Electronics,Headphones,14696,12932.48
PROD00098,Electronics,Headphones,23043,20277.84
PROD00099,Electronics,Headphones,44221,38914.48
PROD00100,Electronics,Smartwatches,74313,65395.44
PROD00101,Electronics,Smartwatches,75837,66736.56
PROD00102,Electronics,Smartwatches,29580,26030.4
PROD00103,Electronics,Smartwatches,64225,56518.0
PROD00104,Electronics,Smartwatches,15741,13852.08
PROD00105,Electronics,Smartwatches,65571,57702.48
PROD00106,Electronics,Smartwatches,6885,6058.8
PROD00107,Electronics,Smartwatches,48013,42251.44
PROD00108,Electronics,Smartwatches,74352,65429.76
PROD00109,Electronics,Smartwatches,44223,38916.24
PROD00110,Electronics,Smartwatches,39431,34699.28
PROD00111,Electronics,Smartwatches,48087,42316.56
PROD00112,Electronics,Smartwatches,17960,15804.8
PROD00113,Electronics,Smartwatches,39848,35066.24
PROD00114,Electronics,Smartwatches,32015,28173.2
PROD00115,Electronics,Smartwatches,60765,53473.2
PROD00116,Electronics,Smartwatches,70056,61649.28
PROD00117,Electronics,Smartwatches,25955,22840.4
PROD00118,Electronics,Smartwatches,73560,64732.8
PROD00119,Electronics,Smartwatches,56277,49523.76
PROD00120,Electronics,Smartwatches,73599,64767.12
PROD00121,Electronics,Smartwatches,18737,16488.56
PROD00122,Electronics,Smartwatches,15878,13972.64
PROD00123,Electronics,Smartwatches,28884,25417.92
PROD00124,Electronics,Smartwatches,33526,29502.88
PROD00125,Electronics,Smartwatches,8890,7823.2
PROD00126,Electronics,Smartwatches,32514,28612.32
PROD00127,Electronics,Smartwatches,74227,65319.76
PROD00128,Electronics,Smartwatches,70900,62392.0
PROD00129,Electronics,Smartwatches,49789,43814.32
PROD00130,Electronics,Smartwatches,61939,54506.32
PROD00131,Electronics,Smartwatches,75303,66266.64
PROD00132,Electronics,Smartwatches,19952,17557.76
PROD00133,Electronics,Cameras,15736,13847.68
PROD00134,Electronics,Cameras,37212,32746.56
PROD00135,Electronics,Cameras,69446,61112.48
PROD00136,Electronics,Cameras,75617,66542.96
PROD00137,Electronics,Cameras,15457,13602.16
PROD00138,Electronics,Cameras,41058,36131.04
PROD00139,Electronics,Cameras,49113,43219.44
PROD00140,Electronics,Cameras,6488,5709.44
PROD00141,Electronics,Cameras,7970,7013.6
PROD00142,Electronics,Cameras,26879,23653.52
PROD00143,Electronics,Cameras,18810,16552.8
PROD00144,Electronics,Cameras,63365,55761.2
PROD00145,Electronics,Cameras,66343,58381.84
