period_type,period,orders,revenue
monthly,2023-01,6,315993.92000000004
monthly,2023-02,21,1000889.68
monthly,2023-03,23,1036369.5
monthly,2023-04,41,1056790.55
monthly,2023-05,42,1124581.98
monthly,2023-06,56,2654838.29
monthly,2023-07,76,2007480.6400000001
monthly,2023-08,73,1778520.46
monthly,2023-09,91,4598220.12
monthly,2023-10,112,5434464.15
monthly,2023-11,114,5546384.35
monthly,2023-12,148,4712360.35
monthly,2024-01,179,6177287.34
monthly,2024-02,178,5946061.41
monthly,2024-03,227,7913937.77
monthly,2024-04,249,8251275.68
monthly,2024-05,286,8956272.63
monthly,2024-06,300,9285138.66
monthly,2024-07,345,13228649.540000001
monthly,2024-08,412,15495781.14
monthly,2024-09,441,22824354.77
monthly,2024-10,590,26709018.09
monthly,2024-11,667,33332077.45
monthly,2024-12,923,31039364.63
yearly,2023,803,31266893.99
yearly,2024,4797,189159219.11
day_of_week,Monday,824,33486244.55
day_of_week,Tuesday,807,32206576.02
day_of_week,Wednesday,809,33443629.43
day_of_week,Thursday,755,28864658.6
day_of_week,Friday,745,26776562.86
day_of_week,Saturday,804,29926754.63
day_of_week,Sunday,856,35721687.01
